experiment,discount,horizon,c_samples,r_samples,run,t,r,std,q_r,q_std,sample,q_sample
tiger,0.9,1,5,250,1,25,-1.0,0.0,-2.38,7.4990399385521345,5,5
tiger,0.9,1,5,250,1,26,2.72,5.385313361356051,-2.1399999999999997,7.491355017618642,5,5
tiger,0.9,1,5,250,1,27,-2.1999999999999997,7.493997598078078,-2.9800000000000004,7.484624239065044,5,5
tiger,0.9,1,5,250,1,28,-1.0,0.0,-1.0,0.0,5,5
tiger,0.9,1,5,250,1,29,1.7000000000000002,6.2136945531623935,2.420000000000001,5.6607066696659,5,5
tiger,0.9,1,5,250,1,30,-1.0,0.0,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,1,31,3.38,4.655706176295922,-2.38,7.4990399385521345,5,5
tiger,0.9,1,5,250,1,32,-3.04,7.480534740244176,-1.0,0.0,5,5
tiger,0.9,1,5,250,1,33,-2.32,7.497839688870388,2.72,5.385313361356051,5,5
tiger,0.9,1,5,250,1,34,-1.0,0.0,-2.9200000000000004,7.488230765674893,5,5
tiger,0.9,1,5,250,1,35,1.9400000000000004,6.044534721548054,-3.1,7.475961476626268,5,5
tiger,0.9,1,5,250,1,36,-3.82,7.3829262491237175,-3.1,7.475961476626268,5,5
tiger,0.9,1,5,250,1,37,-2.44,7.499759996159876,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,1,38,-3.1,7.475961476626268,-1.0,0.0,5,5
tiger,0.9,1,5,250,1,39,-2.8600000000000003,7.491355017618642,2.8999999999999995,5.204805471869242,5,5
tiger,0.9,1,5,250,1,40,-1.9000000000000004,7.475961476626268,-2.5,7.5,5,5
tiger,0.9,1,5,250,1,41,-1.6,7.445804187594514,-3.6399999999999997,7.41285370151064,5,5
tiger,0.9,1,5,250,1,42,-1.0,0.0,-2.9800000000000004,7.484624239065044,5,5
tiger,0.9,1,5,250,1,43,2.78,5.326499788791885,-3.1000000000000005,7.475961476626268,5,5
tiger,0.9,1,5,250,1,44,-3.22,7.4653600047151105,-2.9200000000000004,7.488230765674893,5,5
tiger,0.9,1,5,250,1,45,-1.0,0.0,-2.92,7.488230765674893,5,5
tiger,0.9,1,5,250,1,46,2.5400000000000005,5.554133595800519,-1.5400000000000005,7.438306258819948,5,5
tiger,0.9,1,5,250,1,47,-2.74,7.496159016456361,-1.9599999999999995,7.480534740244176,5,5
tiger,0.9,1,5,250,1,48,-2.8600000000000003,7.491355017618642,-2.0200000000000005,7.484624239065044,5,5
