experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,2,9,-1.0,0.0,-2.8600000000000003,7.491355017618642,8,12.195628121607003,8.50839955673393
tiger,0.9,2,5,250,2,10,3.4400000000000004,4.578908166801339,-2.0199999999999996,7.484624239065044,8,13.204907052518987,8.5718592645203
tiger,0.9,2,5,250,2,11,-1.0,0.0,-1.0,0.0,8,12.967721250255618,8.499260967824306
tiger,0.9,2,5,250,2,12,-1.0,0.0,2.96,5.141828468550853,8,12.129487611650216,8.86332784486525
tiger,0.9,2,5,250,2,13,4.7,2.0999999999999996,-1.3000000000000003,7.40337760755184,8,15.419497276165467,8.495412052092432
tiger,0.9,2,5,250,2,14,-1.0,0.0,-2.1399999999999997,7.491355017618642,8,12.042736103247872,8.610569234460318
tiger,0.9,2,5,250,2,15,1.7599999999999998,6.172714151813609,-1.0,0.0,8,15.493393733918179,8.85992596831949
tiger,0.9,2,5,250,2,16,-1.0,0.0,2.24,5.81226289838992,8,12.071000590503418,8.769401564417063
tiger,0.9,2,5,250,2,17,-1.0,0.0,-1.0,0.0,8,12.131797655572534,8.523249223660557
tiger,0.9,2,5,250,2,18,4.64,2.295735176365079,-7.960000000000001,5.141828468550852,8,16.308909038535347,8.645027915130196
tiger,0.9,2,5,250,2,19,-1.0,0.0,-1.0,0.0,8,12.14868256251373,8.671709374692057
tiger,0.9,2,5,250,2,20,2.3600000000000003,5.712302512997714,3.2,4.874423042781576,8,13.104097945797346,8.676013664948558
tiger,0.9,2,5,250,2,21,-2.26,7.496159016456361,-1.0,0.0,8,12.675039477707843,8.499645344541868
tiger,0.9,2,5,250,2,22,-3.5200000000000005,7.430316278598105,2.78,5.326499788791885,8,12.575175221733268,8.847611569207357
tiger,0.9,2,5,250,2,23,-3.6999999999999997,7.40337760755184,-2.26,7.496159016456361,8,12.017413575209467,8.576445418971407
tiger,0.9,2,5,250,2,24,-1.9600000000000004,7.480534740244176,-1.0,0.0,8,12.607102848327221,8.487583113176614
tiger,0.9,2,5,250,2,25,-1.0,0.0,-1.0,0.0,8,12.025664513132416,8.660646047645585
tiger,0.9,2,5,250,2,26,2.0,6.0,4.76,1.8821264569629745,9,12.667303723753372,9.22217122411025
tiger,0.9,2,5,250,2,27,-1.0,0.0,-2.1999999999999997,7.493997598078078,8,12.141094314545525,8.486427239572773
tiger,0.9,2,5,250,2,28,3.2,4.874423042781576,-2.9200000000000004,7.488230765674893,8,16.32203075433307,8.808193830711737
tiger,0.9,2,5,250,2,29,-1.0,0.0,-1.0,0.0,8,12.074868490320103,8.487515075941767
tiger,0.9,2,5,250,2,30,-1.0,0.0,-1.0,0.0,8,12.932633156483892,8.627424893952982
tiger,0.9,2,5,250,2,31,-1.0,0.0,-1.0,0.0,8,12.187981690425243,8.508660131337265
tiger,0.9,2,5,250,2,32,2.42,5.660706669665899,2.6,5.499090833947008,8,15.9571916420742,8.74325433958602
tiger,0.9,2,5,250,2,33,-1.0,0.0,-2.98,7.484624239065044,8,12.089752467003553,8.641742984599148
tiger,0.9,2,5,250,2,34,-1.0,0.0,-1.0,0.0,8,12.102607885188949,8.49147127609885
tiger,0.9,2,5,250,2,35,-1.0,0.0,-1.0,0.0,8,12.65773467633284,8.992947289768459
tiger,0.9,2,5,250,2,36,2.0600000000000005,5.954527689078287,-2.1399999999999997,7.491355017618642,8,15.346797023497938,8.8648271955595
tiger,0.9,2,5,250,2,37,-1.0,0.0,-1.0,0.0,8,13.639646034533914,8.51441028965704
tiger,0.9,2,5,250,2,38,2.48,5.607994293863003,3.0199999999999996,5.077361519529608,8,15.495332980876132,8.508493282721457
tiger,0.9,2,5,250,2,39,-1.0,0.0,-1.0,0.0,8,12.118467527486972,8.495212958641726
tiger,0.9,2,5,250,2,40,3.3200000000000003,4.730496802662485,-1.0,0.0,8,16.960490911968208,8.508651997168368
tiger,0.9,2,5,250,2,41,-2.1399999999999997,7.491355017618642,-1.9600000000000004,7.480534740244176,9,12.693144337193216,9.252076474311576
tiger,0.9,2,5,250,2,42,-1.0,0.0,-1.0,0.0,8,12.91020945139903,8.54913184352438
