,experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
199,tiger,0.9,1,5,250,3,49,-2.56,7.499759996159876,-2.86,7.491355017618642,5,0,0
200,tiger,0.9,1,5,250,4,0,-1.0,0.0,-1.0,0.0,5,0,0
201,tiger,0.9,1,5,250,4,1,3.2,4.874423042781576,4.220000000000001,3.3304053807307,5,0,0
202,tiger,0.9,1,5,250,4,2,-2.56,7.499759996159876,-3.1,7.475961476626268,5,0,0
203,tiger,0.9,1,5,250,4,3,-1.8400000000000003,7.470903559811223,-2.26,7.496159016456361,5,0,0
204,tiger,0.9,1,5,250,4,4,-1.66,7.452811550012519,-3.3400000000000003,7.452811550012519,5,0,0
205,tiger,0.9,1,5,250,4,5,-2.9200000000000004,7.488230765674893,-2.8000000000000003,7.493997598078078,5,0,0
206,tiger,0.9,1,5,250,4,6,-2.38,7.4990399385521345,-2.38,7.4990399385521345,5,0,0
207,tiger,0.9,1,5,250,4,7,-1.7800000000000002,7.4653600047151105,-2.74,7.496159016456361,5,0,0
208,tiger,0.9,1,5,250,4,8,-1.0,0.0,-2.2,7.493997598078078,5,0,0
209,tiger,0.9,1,5,250,4,9,1.2799999999999998,6.477777396607574,-1.0,0.0,5,0,0
210,tiger,0.9,1,5,250,4,10,-1.0,0.0,2.54,5.554133595800519,5,0,0
211,tiger,0.9,1,5,250,4,11,3.3200000000000003,4.730496802662485,-2.02,7.484624239065044,5,0,0
212,tiger,0.9,1,5,250,4,12,-1.6,7.445804187594514,-1.7800000000000002,7.4653600047151105,5,0,0
213,tiger,0.9,1,5,250,4,13,-2.8600000000000003,7.491355017618642,-1.8999999999999997,7.475961476626268,5,0,0
214,tiger,0.9,1,5,250,4,14,-1.8400000000000003,7.470903559811223,-1.4800000000000004,7.430316278598105,5,0,0
215,tiger,0.9,1,5,250,4,15,-2.44,7.499759996159876,-1.1800000000000002,7.382926249123717,5,0,0
216,tiger,0.9,1,5,250,4,16,-2.26,7.496159016456361,-2.56,7.499759996159876,5,0,0
217,tiger,0.9,1,5,250,4,17,-2.14,7.491355017618642,-2.8600000000000003,7.491355017618642,5,0,0
218,tiger,0.9,1,5,250,4,18,-3.22,7.4653600047151105,-2.9800000000000004,7.484624239065044,5,0,0
219,tiger,0.9,1,5,250,4,19,-4.66,7.182228066554278,-2.8000000000000003,7.493997598078078,5,0,0
220,tiger,0.9,1,5,250,4,20,-2.62,7.4990399385521345,-1.0,0.0,5,0,0
221,tiger,0.9,1,5,250,4,21,-2.62,7.4990399385521345,3.02,5.077361519529608,5,0,0
222,tiger,0.9,1,5,250,4,22,-3.64,7.41285370151064,-3.4000000000000004,7.445804187594514,5,0,0
